,Sector,Brand,Product,Segment,Family,Class
54,Food and Beverages,Nestlé,Carnation (evaporated milk and powdered milk),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes
55,Food and Beverages,Nestlé,Maggi (sauces and seasoning cubes),Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts Variety Packs
56,Food and Beverages,Nestlé,Poland Spring (bottled water),Food/Beverage,Beverages,Non Alcoholic Beverages - Not Ready to Drink
57,Food and Beverages,Nestlé,Milo (chocolate malt beverage),Food/Beverage,Beverages,Non Alcoholic Beverages - Not Ready to Drink
58,Food and Beverages,Nestlé,Friskies (pet food),Pet Care/Food,Pet Food/Drinks,Pet Food
59,Food and Beverages,Nestlé,Nestea (ready-to-drink iced tea),Food/Beverage,Beverages,Non Alcoholic Beverages - Not Ready to Drink
60,Food and Beverages,McDonald's,Big Mac,Food/Beverage,Prepared/Preserved Foods,Sandwiches/Filled Rolls/Wraps
61,Food and Beverages,McDonald's,Quarter Pounder with Cheese,Food/Beverage,Prepared/Preserved Foods,Sandwiches/Filled Rolls/Wraps
62,Food and Beverages,McDonald's,McChicken,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed
63,Food and Beverages,McDonald's,Chicken McNuggets,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed
64,Food and Beverages,McDonald's,McFlurry,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
65,Food and Beverages,McDonald's,French Fries,Food/Beverage,Vegetables - Unprepared/Unprocessed (Shelf Stable),Vegetables - Unprepared/Unprocessed (Shelf Stable)
66,Food and Beverages,McDonald's,Happy Meal,Food/Beverage,Desserts/Desserts Substitutes/Dessert Sauces/Toppings,Ready-Made Combination Meals
67,Food and Beverages,McDonald's,Egg McMuffin,Food/Beverage,Prepared/Preserved Foods,Sandwiches/Filled Rolls/Wraps
68,Food and Beverages,McDonald's,McDouble,Food/Beverage,Prepared/Preserved Foods,Sandwiches/Filled Rolls/Wraps
69,Food and Beverages,McDonald's,Filet-O-Fish,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed
70,Food and Beverages,McDonald's,Vanilla Cone,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
71,Food and Beverages,McDonald's,Strawberry Sundae,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
72,Food and Beverages,McDonald's,McCafe Coffee,Food/Beverage,Beverages,Coffee/Coffee Substitutes
73,Food and Beverages,McDonald's,Iced Coffee,Food/Beverage,Beverages,Coffee/Coffee Substitutes
74,Food and Beverages,McDonald's,Apple Pie,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
75,Food and Beverages,McDonald's,Bacon McDouble,Food/Beverage,Prepared/Preserved Foods,Sandwiches/Filled Rolls/Wraps
76,Food and Beverages,McDonald's,Spicy McChicken,Food/Beverage,Prepared/Preserved Foods,Sandwiches/Filled Rolls/Wraps
77,Food and Beverages,McDonald's,Double Cheeseburger,Food/Beverage,Prepared/Preserved Foods,Sandwiches/Filled Rolls/Wraps
78,Food and Beverages,McDonald's,Chicken Selects,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed
79,Food and Beverages,McDonald's,Shamrock Shake (seasonal),Food/Beverage,Beverages,Non Alcoholic Beverages - Not Ready to Drink
80,Food and Beverages,Starbucks,Pike Place Roast (Medium Roast Coffee),Food/Beverage,Beverages,Coffee/Coffee Substitutes
81,Food and Beverages,Starbucks,Caffè Americano,Food/Beverage,Beverages,Coffee/Coffee Substitutes
82,Food and Beverages,Starbucks,Caramel Macchiato,Food/Beverage,Beverages,Coffee/Coffee Substitutes
83,Food and Beverages,Starbucks,Pumpkin Spice Latte (Seasonal),Food/Beverage,Beverages,Coffee/Coffee Substitutes
84,Food and Beverages,Starbucks,Flat White,Food/Beverage,Beverages,Coffee/Coffee Substitutes
85,Food and Beverages,Starbucks,Vanilla Latte,Food/Beverage,Beverages,Coffee/Coffee Substitutes
86,Food and Beverages,Starbucks,Mocha Frappuccino,Food/Beverage,Beverages,Coffee/Coffee Substitutes
87,Food and Beverages,Starbucks,Iced Matcha Green Tea Latte,Food/Beverage,Beverages,Coffee/Coffee Substitutes
88,Food and Beverages,Starbucks,Coffee Cake,Food/Beverage,Bread/Bakery Products,Savoury Bakery Products
89,Food and Beverages,Starbucks,"Spinach, Feta & Cage-Free Egg White Wrap",Food/Beverage,Beverages,Coffee/Coffee Substitutes
90,Food and Beverages,Starbucks,Chicken & Bacon Savory Foldover,Food/Beverage,Beverages,Coffee/Coffee Substitutes
91,Food and Beverages,Starbucks,Strawberry Açaí Refresher,Food/Beverage,Beverages,Coffee/Coffee Substitutes
92,Food and Beverages,Starbucks,Blueberry Scone,Food/Beverage,Beverages,Coffee/Coffee Substitutes
93,Food and Beverages,Starbucks,Chocolate Croissant,Food/Beverage,Bread/Bakery Products,Sweet Bakery Products
94,Food and Beverages,Starbucks,Vanilla Bean Scone,Food/Beverage,Beverages,Coffee/Coffee Substitutes
95,Food and Beverages,Starbucks,Iced Coffee,Food/Beverage,Beverages,Coffee/Coffee Substitutes
96,Food and Beverages,Starbucks,Cold Brew Coffee,Food/Beverage,Beverages,Coffee/Coffee Substitutes
97,Food and Beverages,Starbucks,Chai Latte,Food/Beverage,Beverages,Coffee/Coffee Substitutes
98,Food and Beverages,Starbucks,Almondmilch Caffè Mistos,Food/Beverage,Beverages,Coffee/Coffee Substitutes
99,Food and Beverages,Starbucks,Cookies & Cream Cake Pop,Food/Beverage,Bread/Bakery Products,Biscuits/Cookies
100,Food and Beverages,Danone,Activia Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
101,Food and Beverages,Danone,Danone Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
102,Food and Beverages,Danone,Oikos Greek Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
103,Food and Beverages,Danone,Dannon Light & Fit Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
104,Food and Beverages,Danone,Danonino (Dany) Yogurt for Kids,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
105,Food and Beverages,Danone,YoCrunch Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
106,Food and Beverages,Danone,Silk Almond Milk,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes
107,Food and Beverages,Danone,"So Delicious Dairy Free (coconut, almond, and cashew products)",Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
108,Food and Beverages,Danone,Evian Natural Spring Water,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
109,Food and Beverages,Danone,Volvic Mineral Water,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
110,Food and Beverages,Danone,Actimel (DanActive),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes
111,Food and Beverages,Danone,Nature's Promise Organic Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
112,Food and Beverages,Danone,"Alpro Plant-based Products (various variants like almond, soy, oat)",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes
113,Food and Beverages,Danone,Bledina (baby food),Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages
114,Food and Beverages,Danone,"Nutricia (specialized nutrition products, including Aptamil)",Healthcare,Health Enhancement,Vitamins/Minerals/Nutritional Supplements
115,Food and Beverages,Danone,Stonyfield Organic Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
116,Food and Beverages,Danone,Danone Cream Cheese,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese/Cheese Substitutes
117,Food and Beverages,Danone,Horizon Organic Dairy Products,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Dairy Derivatives/By Products
118,Food and Beverages,Danone,Light & Fit Greek Nonfat Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
119,Food and Beverages,Danone,Dannon Greek Yogurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes
120,Food and Beverages,Mondelez International,Oreo Cookies,Food/Beverage,Prepared/Preserved Foods,Snacks
121,Food and Beverages,Mondelez International,Cadbury Dairy Milk Chocolate,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products
122,Food and Beverages,Mondelez International,Toblerone Chocolate,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products
123,Food and Beverages,Mondelez International,Ritz Crackers,Food/Beverage,Prepared/Preserved Foods,Snacks
124,Food and Beverages,Mondelez International,Triscuit Crackers,Food/Beverage,Prepared/Preserved Foods,Snacks
125,Food and Beverages,Mondelez International,Wheat Thins,Food/Beverage,Prepared/Preserved Foods,Snacks
126,Food and Beverages,Mondelez International,BelVita Biscuits,Food/Beverage,Prepared/Preserved Foods,Snacks
127,Food and Beverages,Mondelez International,Chips Ahoy! Cookies,Food/Beverage,Prepared/Preserved Foods,Snacks
128,Food and Beverages,Mondelez International,Philadelphia Cream Cheese,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese/Cheese Substitutes
129,Food and Beverages,Mondelez International,Sour Patch Kids,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods Variety Packs
130,Food and Beverages,Mondelez International,Planters Nuts,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Fruit/Nuts/Seeds Combination
131,Food and Beverages,Mondelez International,Microwavable Popcorn (such as Orville Redenbacher's),Food/Beverage,Prepared/Preserved Foods,Snacks
132,Food and Beverages,Mondelez International,Animal Crackers (Barnum's Animals),Food/Beverage,Prepared/Preserved Foods,Snacks
133,Food and Beverages,Mondelez International,LU Cookies,Food/Beverage,Prepared/Preserved Foods,Snacks
134,Food and Beverages,Mondelez International,Dentyne Gum,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products
135,Food and Beverages,Mondelez International,Halls Cough Drops,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods Variety Packs
136,Food and Beverages,Mondelez International,Tang Drink Mix,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
137,Food and Beverages,Mondelez International,Philadelphia Cooking Cream,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cream/Cream Substitutes
138,Food and Beverages,Mondelez International,Boursin Cheese,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese/Cheese Substitutes
139,Food and Beverages,Mondelez International,Cote d'Or Chocolate,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products
140,Food and Beverages,Unilever,Hellmann's Mayonnaise,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
141,Food and Beverages,Unilever,Knorr Bouillon Cubes,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods Variety Packs
142,Food and Beverages,Unilever,Lipton Tea,Food/Beverage,Beverages,Tea and Infusions/Tisanes
143,Food and Beverages,Unilever,Ben & Jerry's Ice Cream,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
144,Food and Beverages,Unilever,Magnum Ice Cream,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings
145,Food and Beverages,Unilever,Dove Chocolate,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products
146,Food and Beverages,Unilever,Becel Margarine,Food/Beverage,Oils/Fats Edible,Oils Edible
147,Food and Beverages,Unilever,Flora Margarine,Food/Beverage,Oils/Fats Edible,Oils Edible
148,Food and Beverages,Unilever,Country Crock Spread,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
149,Food and Beverages,Unilever,Best Foods Mayonnaise,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
150,Food and Beverages,Unilever,Tasty Bite (Indian food products),Food/Beverage,Prepared/Preserved Foods,Ready-Made Combination Meals
151,Food and Beverages,Unilever,Hellmann's Ketchup,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
152,Food and Beverages,Unilever,Blue Band Margarine,Food/Beverage,Oils/Fats Edible,Oils Edible
153,Food and Beverages,Unilever,Viile (plant-based beverages),Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
154,Food and Beverages,Unilever,Breyers Ice Cream,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
155,Food and Beverages,Unilever,Knorr Meal Kits,Food/Beverage,Prepared/Preserved Foods,Ready-Made Combination Meals
156,Food and Beverages,Unilever,Wish-Bone Salad Dressings,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
157,Food and Beverages,Unilever,Cif Cream (for culinary use),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cream/Cream Substitutes
158,Food and Beverages,Unilever,Axe Coffee,Food/Beverage,Beverages,Coffee/Coffee Substitutes
159,Food and Beverages,Unilever,Sir Kensington's condiments,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
160,Food and Beverages,Campbell Soup Company,Campbell's Condensed Tomato Soup,Food/Beverage,Prepared/Preserved Foods,Prepared Soups
161,Food and Beverages,Campbell Soup Company,Campbell's Chunky Soup (various flavors),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
162,Food and Beverages,Campbell Soup Company,Campbell's Healthy Request Soup (various flavors),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
163,Food and Beverages,Campbell Soup Company,Campbell's Select Harvest Soup (various flavors),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
164,Food and Beverages,Campbell Soup Company,Campbell's Well Yes! Soup (various flavors),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
165,Food and Beverages,Campbell Soup Company,Prego Italian Pasta Sauce (various flavors),Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
166,Food and Beverages,Campbell Soup Company,Swanson Natural Goodness Chicken Broth,Food/Beverage,Prepared/Preserved Foods,Prepared Soups
167,Food and Beverages,Campbell Soup Company,Swanson Vegetable Broth,Food/Beverage,Prepared/Preserved Foods,Prepared Soups
168,Food and Beverages,Campbell Soup Company,Campbell's SpaghettiOs (various varieties),Food/Beverage,Prepared/Preserved Foods,Pasta/Noodles
169,Food and Beverages,Campbell Soup Company,V8 Vegetable Juice,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
170,Food and Beverages,Campbell Soup Company,V8 Fusion Juice Drink,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
171,Food and Beverages,Campbell Soup Company,Campbell's Homestyle Soup (various flavors),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
172,Food and Beverages,Campbell Soup Company,Pacific Foods Organic Soups (various flavors),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
173,Food and Beverages,Campbell Soup Company,Pepperidge Farm Goldfish Crackers,Food/Beverage,Prepared/Preserved Foods,Snacks
174,Food and Beverages,Campbell Soup Company,Campbell's Chunky Soup Bowls (microwaveable),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
175,Food and Beverages,Campbell Soup Company,Campbell's Slow Kettle Style Soup (various flavors),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
176,Food and Beverages,Campbell Soup Company,Prego Pizza Sauce,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
177,Food and Beverages,Campbell Soup Company,Campbell's Cream of Mushroom Soup,Food/Beverage,Prepared/Preserved Foods,Prepared Soups
178,Food and Beverages,Campbell Soup Company,Amy's Kitchen (acquired product line),Food/Beverage,Prepared/Preserved Foods,Ready-Made Combination Meals
179,Food and Beverages,Campbell Soup Company,Campbell's Soup on the Go (various flavors),Food/Beverage,Prepared/Preserved Foods,Prepared Soups
180,Food and Beverages,Kraft Heinz,Heinz Ketchup,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
181,Food and Beverages,Kraft Heinz,Heinz Mustard,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
182,Food and Beverages,Kraft Heinz,Heinz BBQ Sauce,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
183,Food and Beverages,Kraft Heinz,Heinz Salad Dressing,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
184,Food and Beverages,Kraft Heinz,Jello Gelatin,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products
185,Food and Beverages,Kraft Heinz,Velveeta Cheese,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese/Cheese Substitutes
186,Food and Beverages,Kraft Heinz,Kraft Singles,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese/Cheese Substitutes
187,Food and Beverages,Kraft Heinz,Kraft Macaroni & Cheese,Food/Beverage,Prepared/Preserved Foods,Pasta/Noodles
188,Food and Beverages,Kraft Heinz,Ortega Taco Sauce,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
189,Food and Beverages,Kraft Heinz,Uneeda Biscuits,Food/Beverage,Prepared/Preserved Foods,Snacks
190,Food and Beverages,Kraft Heinz,Learned Condensed Soups,Food/Beverage,Prepared/Preserved Foods,Prepared Soups
191,Food and Beverages,Kraft Heinz,Classico Pasta Sauce,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments
192,Food and Beverages,Kraft Heinz,Ice Breakers Mints,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods Variety Packs
193,Food and Beverages,Kraft Heinz,Philadelphia Cream Cheese,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese/Cheese Substitutes
194,Food and Beverages,Kraft Heinz,Cherubs Cherry Tomatoes,Food/Beverage,Prepared/Preserved Foods,Vegetable Based Products / Meals
195,Food and Beverages,Kraft Heinz,Capri Sun,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink
196,Food and Beverages,Kraft Heinz,Oscar Mayer Hot Dogs,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals Sausages - Prepared/Processed
197,Food and Beverages,Kraft Heinz,Lunchables,Food/Beverage,Prepared/Preserved Foods,Snacks
198,Food and Beverages,Kraft Heinz,Smart Ones Frozen Meals,Food/Beverage,Prepared/Preserved Foods,Pasta/Noodles
199,Food and Beverages,Kraft Heinz,Devon Cream Cheese,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese/Cheese Substitutes
200,Health and Personal Care Products,Abbott Laboratories,Ensure (nutritional supplement),Healthcare,Health Enhancement,"Vitamins/Minerals/Nutritional Supplements"""
201,Health and Personal Care Products,Abbott Laboratories,Similac (infant formula),Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages
202,Health and Personal Care Products,Abbott Laboratories,Pedialyte (rehydration solution),Healthcare,Health Enhancement,Rehydration solutions
203,Health and Personal Care Products,Abbott Laboratories,Glucerna (nutritional shakes for diabetes),Healthcare,Health Enhancement,"Vitamins/Minerals/Nutritional Supplements"""
204,Health and Personal Care Products,Abbott Laboratories,Neocate (hypoallergenic infant formula),Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages
205,Health and Personal Care Products,Abbott Laboratories,FreeStyle Libre (continuous glucose monitoring system),Healthcare,Home Diagnostics,Diagnostic Monitors
206,Health and Personal Care Products,Abbott Laboratories,Instremely (dietary supplement for heavy meals),Healthcare,Health Enhancement,Dietary Aids
207,Health and Personal Care Products,Abbott Laboratories,Similac Total Comfort (infant formula for sensitive tummies),Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages
208,Health and Personal Care Products,Abbott Laboratories,Ensure Clear (clear nutritional drink),Healthcare,Health Enhancement,"Vitamins/Minerals/Nutritional Supplements"""
